Real Imaginary
553.45557 260.67026
615.14063 298.45197
688.42255 341.74954
768.44427 390.16776
857.18237 447.75946
957.83881 519.7395
1073.2366 609.59906
1210.7814 716.86444
1386.7909 853.16888
1609.567 1008.2678
1879.6647 1176.1445
2236.1816 1315.3301
2621.1431 1430.3551
3058.6687 1482.7113
3494.3589 1481.3973
3947.8433 1446.0486
4320.749 1349.7144
4671.1211 1214.7294
4994.626 1084.9885
5236.3286 931.11676
5436.7046 813.43182
5583.5186 657.53424
5723.438 596.19385
5844.02 457.85239
5945.6978 387.00766
6006.6626 328.63126
6089.8076 288.5018
6146.8027 286.0015
6199.2485 237.41814
6253.3823 209.41524
