Energy = 26.968 keV
Radiation: xray
h k l TwoTheta Intensity
0 0 1 4.38 3629.01
0 2 0 4.77 1629.49
1 1 0 4.99 1647.92
1 1 -1 5.57 1303.02
0 2 1 6.48 1174.85
1 1 1 7.56 706.23
2 0 -1 8.36 993.99
1 3 0 8.40 997.54
1 1 -2 8.70 371.57
1 3 -1 8.76 12557.60
2 0 0 8.77 12556.81
0 0 2 8.77 12211.42
0 4 0 9.56 234.68
2 2 -1 9.63 218.61
2 2 0 9.99 422.76
0 2 2 9.99 463.79
2 0 -2 10.08 34533.09
1 3 1 10.15 34659.90
0 4 1 10.52 763.14
1 3 -2 11.02 133.01
2 0 1 11.06 133.99
2 2 -2 11.16 858.25
1 1 2 11.32 549.25
