'y-axis saved as y
'x 11bmb_8032SRC001-020.xye SigmaYobs Ycalc Diff
0.5 879.261803 39.0921286 0 0
0.500998 887.24632 39.3887635 0 0
0.501997 866.980489 39.0111946 0 0
0.502995 860.710029 38.9465939 0 0
0.503994 819.327268 38.0833713 0 0
0.504992 864.485881 39.1751874 0 0
0.505991 915.141962 40.3293431 0 0
0.506989 895.544595 39.8443079 0 0
0.507988 918.651138 40.2817309 0 0
0.508986 892.802729 39.7492004 0 0
0.509984 840.786104 38.7920124 0 0
0.510983 993.549751 42.0137978 0 0
0.511981 935.877592 40.6446607 0 0
0.51298 919.690531 40.3527043 0 0
0.513978 946.336525 40.8212222 0 0
0.514977 978.438697 41.5253421 0 0
0.515975 1018.73642 42.3962495 0 0
0.516973 988.095378 41.6433662 0 0
0.517972 949.989418 40.7620389 0 0
0.51897 946.961772 40.6697621 0 0
0.519969 998.548547 41.837172 0 0
0.520967 976.449812 41.3985876 0 0
0.521966 994.828106 41.8226065 0 0
0.522964 952.619458 40.7234745 0 0
0.523962 939.554405 40.4336079 0 0
0.524961 1015.89481 42.1263999 0 0
0.525959 1012.67073 41.9934081 0 0
0.526958 926.63676 40.1920713 0 0
0.527956 952.298772 40.6676934 0 0
0.528955 974.751109 41.0740096 0 0
0.529953 1014.29223 41.9049907 0 0
0.530952 1013.12136 41.9097566 0 0
0.53195 1008.71866 41.8963598 0 0
0.532948 1013.32124 41.9195517 0 0
0.533947 1027.8675 42.1368419 0 0
0.534945 978.536014 41.0663882 0 0
0.535944 980.59693 41.1557875 0 0
0.536942 1026.47618 42.1534439 0 0
0.537941 989.891036 41.4965349 0 0
0.538939 1018.56154 41.8797256 0 0
0.539937 1030.21844 41.9023736 0 0
0.540936 1050.17176 42.390464 0 0
0.541934 1048.60255 42.308122 0 0
0.542933 1066.86825 42.7201732 0 0
0.543931 1096.00196 43.421999 0 0
0.54493 1048.15876 42.2209948 0 0
0.545928 1039.10585 42.0654452 0 0
0.546927 1015.10775 41.6402061 0 0
0.547925 935.408537 40.1517345 0 0
0.548923 1062.51665 42.9107232 0 0
0.549922 1027.74256 42.3870683 0 0
0.55092 962.137713 41.0592674 0 0
0.551919 992.37114 41.6982133 0 0
0.552917 1001.14665 42.0454209 0 0
0.553916 1087.24064 43.8492663 0 0
0.554914 1007.43797 42.3797257 0 0
0.555913 1039.20127 43.0829732 0 0
0.556911 1086.96814 43.792586 0 0
0.557909 967.991579 41.3343035 0 0
0.558908 1066.11163 43.5367416 0 0
0.559906 1030.12676 42.801225 0 0
0.560905 1016.10236 42.5723646 0 0
0.561903 1056.78058 43.2086786 0 0
0.562902 1000.87677 41.9437631 0 0
0.5639 979.910411 41.4823255 0 0
0.564898 1023.53368 42.4522377 0 0
0.565897 1087.15448 43.7455545 0 0
0.566895 988.100644 41.7387866 0 0
0.567894 1092.34054 43.6078778 0 0
0.568892 977.988506 41.2952845 0 0
0.569891 1048.1428 42.7539809 0 0
0.570889 1041.70098 42.717384 0 0
0.571887 991.533748 41.832672 0 0
0.572886 979.34804 41.3308176 0 0
0.573884 1002.09636 41.6653544 0 0
0.574883 993.178884 41.4953764 0 0
0.575881 963.350304 40.9661117 0 0
0.57688 985.358549 41.5696837 0 0
0.577878 1039.97618 42.5360723 0 0
0.578877 999.49128 41.5173203 0 0
0.579875 921.803705 39.8272292 0 0
0.580873 1010.37374 41.7978649 0 0
0.581872 927.903855 40.1585323 0 0
0.58287 930.838816 40.2647912 0 0
0.583869 915.254113 39.8417045 0 0
0.584867 904.491678 39.4880434 0 0
0.585866 891.175012 39.1913532 0 0
0.586864 972.444667 40.985491 0 0
0.587863 898.711293 39.4470035 0 0
0.588861 926.488476 40.0033507 0 0
0.589859 939.403308 40.0596159 0 0
0.590858 902.166125 39.1543054 0 0
0.591856 909.788288 39.4070238 0 0
0.592855 903.924792 39.3622542 0 0
0.593853 918.326401 39.7661834 0 0
0.594852 884.378296 38.9641171 0 0
0.59585 905.37846 39.2066568 0 0
0.596848 982.908223 40.9946391 0 0
0.597847 856.531374 38.3809256 0 0
0.598845 856.250408 38.5081752 0 0
0.599844 990.130753 41.561523 0 0
0.600842 916.355649 40.0352876 0 0
0.601841 934.699093 40.4311444 0 0
0.602839 884.142744 39.4078428 0 0
0.603838 924.906476 40.4261816 0 0
0.604836 868.607744 39.3121924 0 0
0.605834 931.911462 40.8209176 0 0
0.606833 847.638504 38.7705515 0 0
0.607831 851.486093 38.8389942 0 0
0.60883 841.268236 38.5610824 0 0
0.609828 877.230209 39.4637261 0 0
0.610827 812.63897 38.0734365 0 0
0.611825 942.853697 40.879268 0 0
0.612823 908.694145 40.0488685 0 0
0.613822 843.209217 38.4611464 0 0
0.61482 857.533453 38.7257378 0 0
0.615819 819.651541 38.0231676 0 0
0.616817 862.25633 39.0431793 0 0
0.617816 840.542176 38.4281228 0 0
0.618814 813.440403 37.6962181 0 0
0.619812 838.998643 38.2228591 0 0
0.620811 808.498381 37.7070521 0 0
0.621809 916.142343 40.2054994 0 0
0.622808 814.802201 37.8256744 0 0
0.623806 779.24591 36.8292769 0 0
0.624805 816.630579 37.7235207 0 0
0.625803 799.867262 37.2796265 0 0
0.626802 830.305759 38.0700104 0 0
0.6278 886.909213 39.3621273 0 0
0.628798 836.052271 38.147569 0 0
0.629797 800.869883 37.2275254 0 0
0.630795 752.267912 36.0821294 0 0
0.631794 828.739065 37.8565981 0 0
0.632792 782.412111 36.8838028 0 0
0.633791 838.800697 38.1870647 0 0
0.634789 846.187369 38.2154567 0 0
